Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,order_month
2000,Kids,Training,SuperRep Go,M,2,5280.57,0.47,5597.4,2024-03-09,Online,Bengaluru,-770.45,March
2001,Women,Soccer,Tiempo Legend,M,3,4957.93,0.5,7436.9,2024-07-09,Retail,Hyderabad,-112.53,July
2002,Women,Soccer,Premier III,M,4,5598.98,0.5,11197.96,2024-12-21,Retail,Mumbai,3337.34,December
2003,Kids,Lifestyle,Blazer Mid,L,2,8503.27,0.49,9867.04,2024-10-04,Online,Pune,3376.85,October
2004,Kids,Running,React Infinity,XL,2,6546.46,0.5,6546.46,2024-09-12,Retail,Delhi,187.89,September
2005,Women,Training,Flex Trainer,M,1,7363.96,0.47,3902.9,2024-12-21,Retail,Delhi,1415.98,December
2006,Men,Training,SuperRep Go,M,2,6819.78,0.47,7228.97,2025-06-04,Online,Bengaluru,1802.09,June
2007,Kids,Training,SuperRep Go,M,1,5280.57,0.32,3590.79,2024-12-21,Retail,Bengaluru,2928.36,December
2008,Women,Soccer,Premier III,L,2,5598.98,0.5,5598.98,2024-10-11,Online,Hyderabad,-731.18,October
2009,Men,Soccer,Mercurial Superfly,M,4,6569.65,0.5,13139.3,2025-01-16,Online,Pune,3929.61,January
2010,Kids,Lifestyle,Waffle One,L,1,7949.83,0.49,4054.41,2025-01-16,Online,Pune,1965.56,January
2011,Women,Training,Flex Trainer,L,2,8503.27,0.47,10161.24,2024-12-21,Retail,Hyderabad,1667.08,December
2018,Kids,Lifestyle,Blazer Mid,L,2,6383.24,0.86,1787.31,2024-11-13,Online,Delhi,2109.48,November
2013,Kids,Training,SuperRep Go,L,2,8503.27,0.47,10251.31,2024-09-19,Online,Hyderabad,299.34,September
2014,Women,Running,React Infinity,L,2,6546.46,0.5,6546.46,2025-04-12,Online,Bengaluru,-1044.4,April
2015,Kids,Basketball,Air Jordan,L,2,3346.95,0.48,3416.94,2025-05-31,Retail,Kolkata,1193.21,May
2016,Women,Basketball,Air Jordan,M,1,8503.27,0.3,6910.22,2024-12-21,Retail,Hyderabad,2452.69,December
2017,Women,Basketball,Air Jordan,M,4,6165.08,0.48,12823.37,2025-03-17,Retail,Delhi,1946.24,March
2019,Kids,Running,Air Zoom,S,0,3424.06,0.32,0.0,2025-01-17,Online,Hyderabad,1915.24,January
2020,Kids,Soccer,Tiempo Legend,L,2,6045.785,0.67,3990.22,2025-03-28,Retail,Mumbai,439.96,March
2021,Men,Running,Free RN,L,2,7086.7,0.66,4818.96,2024-11-19,Retail,Hyderabad,-1120.49,November
2022,Women,Soccer,Premier III,M,2,5598.98,0.5,5598.98,2024-09-24,Online,Pune,3427.16,September
2023,Men,Lifestyle,Waffle One,M,2,5003.95,0.49,5104.03,2025-01-10,Online,Mumbai,1498.37,January
2024,Kids,Training,SuperRep Go,XL,0,5280.57,0.5,0.0,2024-12-28,Retail,Bengaluru,1842.35,December
2025,Women,Basketball,Kyrie Flytrap,M,3,8503.27,0.48,14613.12875,2024-12-21,Retail,Mumbai,1900.15,December
2026,Kids,Lifestyle,Blazer Mid,XL,1,6383.24,0.16,5361.92,2024-08-10,Retail,Kolkata,2301.64,August
2027,Men,Basketball,Zoom Freak,XL,2,6304.01,0.22,9834.26,2025-01-16,Online,Pune,-138.74,January
2028,Men,Training,Flex Trainer,XL,2,3346.95,0.47,3466.44,2024-12-21,Retail,Delhi,-946.86,December
2029,Men,Training,ZoomX Invincible,XL,0,6944.2,0.47,0.0,2023-10-28,Online,Bengaluru,-185.67,October
2030,Men,Soccer,Phantom GT,XL,2,6393.58,0.5,6393.58,2025-07-14,Retail,Hyderabad,-122.93,July
2031,Men,Soccer,Premier III,M,4,3493.04,0.82,2514.99,2024-05-09,Online,Delhi,350.7,May
2032,Women,Lifestyle,Blazer Mid,XL,1,6383.24,0.49,3255.45,2025-04-11,Retail,Mumbai,-555.16,April
2033,Men,Soccer,Mercurial Superfly,XL,2,6569.65,0.5,6569.65,2024-12-21,Retail,Kolkata,-1005.71,December
2034,Men,Basketball,Air Jordan,S,2,6235.71,0.48,6485.14,2025-04-30,Retail,Delhi,-267.37,April
2035,Kids,Basketball,Zoom Freak,M,4,6304.01,0.38,14613.12875,2024-11-17,Online,Bengaluru,2914.83,November
2036,Men,Training,Metcon 7,M,3,5817.695,0.47,9250.14,2025-02-15,Retail,Bengaluru,-143.8,February
2037,Kids,Running,Pegasus Turbo,S,3,5653.14,0.5,8479.71,2024-12-21,Retail,Pune,2776.96,December
2038,Kids,Running,Free RN,L,0,6290.99,0.83,0.0,2025-01-16,Online,Delhi,1163.21,January
2039,Women,Training,Flex Trainer,M,2,3346.95,0.63,2048.1,2025-04-22,Retail,Hyderabad,-336.3,April
2041,Kids,Soccer,Tiempo Legend,XL,2,5553.88,0.5,5553.88,2025-03-05,Online,Hyderabad,2371.66,March
2042,Women,Basketball,Kyrie Flytrap,L,2,5066.14,0.48,5268.79,2025-04-19,Online,Hyderabad,-862.16,April
2043,Men,Soccer,Premier III,XL,2,3492.89,0.77,1606.73,2024-05-02,Retail,Delhi,3770.75,May
2044,Kids,Training,SuperRep Go,L,2,5280.57,0.47,5597.4,2023-09-06,Online,Delhi,2174.71,September
2045,Kids,Lifestyle,Dunk Low,XL,4,6202.99,0.49,12654.1,2025-04-06,Retail,Delhi,1833.94,April
2046,Kids,Running,Air Zoom,XL,2,5550.99,0.5,5550.99,2025-01-16,Online,Kolkata,1284.33,January
2047,Women,Training,SuperRep Go,L,1,8503.27,0.47,4546.21,2024-06-13,Retail,Bengaluru,2888.68,June
2048,Women,Basketball,Air Jordan,XL,2,6165.08,0.48,6411.68,2024-10-27,Online,Bengaluru,2875.86,October
2049,Kids,Soccer,Tiempo Legend,L,1,7767.2,0.5,3883.6,2024-12-21,Retail,Pune,311.48,December
2050,Men,Running,Air Zoom,L,1,5550.99,0.57,2386.93,2024-12-21,Retail,Kolkata,682.12,December
2051,Women,Basketball,Air Jordan,XL,2,6165.08,0.37,7768.0,2024-01-05,Retail,Delhi,3135.98,January
2052,Men,Training,Flex Trainer,L,3,8503.27,0.47,14557.98,2024-10-08,Retail,Pune,2184.8,October
2053,Men,Lifestyle,Air Force 1,XL,3,6009.58,0.49,9194.66,2024-10-02,Online,Delhi,3384.92,October
2054,Women,Training,Flex Trainer,L,2,6424.54,0.47,6810.01,2025-06-23,Online,Mumbai,-549.76,June
2055,Men,Basketball,Kyrie Flytrap,L,2,5066.14,0.48,5268.79,2024-10-26,Online,Hyderabad,-1078.76,October
2056,Men,Running,React Infinity,L,3,6546.46,0.5,9819.69,2024-05-31,Retail,Bengaluru,-244.44,May
2058,Women,Training,Flex Trainer,L,2,4985.92,0.47,5285.08,2025-01-16,Online,Kolkata,361.54,January
2059,Kids,Soccer,Phantom GT,M,2,8503.27,0.5,9507.54,2023-12-27,Retail,Delhi,291.28,December
2060,Men,Lifestyle,Waffle One,L,2,7979.26,0.49,8138.85,2024-07-11,Online,Bengaluru,2821.59,July
2061,Women,Basketball,LeBron 20,L,2,6518.715,0.48,6779.46,2024-09-10,Online,Mumbai,-501.68,September
2062,Men,Basketball,Air Jordan,L,2,6165.08,0.48,6411.68,2025-06-06,Online,Bengaluru,1823.91,June
2063,Women,Basketball,Air Jordan,M,1,8503.27,0.16,8190.84,2024-09-06,Retail,Pune,1130.31,September
2064,Kids,Running,React Infinity,L,2,7557.71,0.5,7557.71,2025-03-02,Online,Bengaluru,3277.44,March
